Name,Type,Scope,Offset,Local Offset,Line Number,Size,Token,Parameters,Inherits


__name__,STR,global,-1,-1,-1,8,GLOBAL,NULL,NULL


print( Function ),VOID,global,-1,-1,-1,NULL,FUNCDEF,print:ANY ; ,NULL
len( Function ),INT,global,-1,-1,-1,NULL,FUNCDEF,len:ANY ; ,NULL
range( Function ),NUMBER,global,-1,-1,-1,NULL,FUNCDEF,range:ANY ; ,NULL
bubbleSort( Function ),VOID,global,-1,-1,0,NULL,FUNCDEF,,NULL
i,INT,bubbleSort( Function ),0,0,4,4,NAME,NULL,NULL
a,STR,bubbleSort( Function ),4,4,5,8,NAME,NULL,NULL
array,LIST,bubbleSort( Function ),12,12,7,28,NAME,NULL,NULL
swapped,BOOL,bubbleSort( Function ),40,40,10,1,NAME,NULL,NULL
j,INT,bubbleSort( Function ),41,41,11,4,NAME,NULL,NULL
temp,INT,bubbleSort( Function ),45,45,15,4,NAME,NULL,NULL
